G-4-25:G425,G동 4층 25호
G-4-31:G431,G동 4층 31호
G-4-26:G426,G동 4층 26호
G-4-30:G430,G동 4층 30호
G-4-27:G427,G동 4층 27호
G-4-29:G429,G동 4층 29호
G-4-28:G428,G동 4층 28호
G-4-1:G401,G동 4층 1호
G-4-2:G402,G동 4층 2호
G-4-3:G403,G동 4층 3호
G-4-4:G404,G동 4층 4호
G-4-17:G417,G동 4층 17호
G-4-5:G405,G동 4층 5호
G-4-16:G416,G동 4층 16호
G-4-6:G406,G동 4층 6호
G-4-15:G415,G동 4층 15호
G-4-7:G407,G동 4층 7호
G-4-14:G414,G동 4층 14호
G-4-8:G408,G동 4층 8호
G-4-13:G413,G동 4층 13호
G-4-9:G409,G동 4층 9호
G-4-12:G412,G동 4층 12호
G-4-10:G410,G동 4층 10호
G-4-11:G411,G동 4층 11호
G-4-18:G418,G동 4층 18호
G-4-19:G419,G동 4층 19호
G-4-22:G422,G동 4층 22호
G-4-20:G420,G동 4층 20호
G-4-21:G421,G동 4층 21호
G-5-10:G510,G동 5층 10호
G-5-15:G515,G동 5층 15호
G-5-14:G514,G동 5층 14호
H-5-1:H501,H동 5층 1호
G-6-1:G601,G동 6층 1호
G-6-2:G602,G동 6층 2호
G-6-4:G604,G동 6층 4호
G-6-5:G605,G동 6층 5호
G-6-6:G606,G동 6층 6호
H-2-1:H201,H동 2층 1호
H-2-2:H202,H동 2층 2호
H-2-3:H203,H동 2층 3호
H-2-4:H204,H동 2층 4호
H-2-5:H205,H동 2층 5호
H-2-6:H206,H동 2층 6호
H-3-1:H301,H동 3층 1호
H-3-5:H305,H동 3층 5호
H-3-4:H304,H동 3층 4호
H-3-6:H306,H동 3층 6호
I-6-5:I605,I동 6층 5호
I-6-3:I603,I동 6층 3호
I-6-2:I602,I동 6층 2호
I-6-1:I601,I동 6층 1호
I-6-6:I606,I동 6층 6호
I-6-7:I607,I동 6층 7호
I-6-14:I614,I동 6층 14호
I-6-8:I608,I동 6층 8호
I-6-15:I615,I동 6층 15호
I-6-9:I609,I동 6층 9호
I-6-10:I610,I동 6층 10호
I-6-12:I612,I동 6층 12호
I-5-5:I505,I동 5층 5호
I-5-3:I503,I동 5층 3호
I-5-2:I502,I동 5층 2호
I-5-1:I501,I동 5층 1호
